,Features,Score
325,DATE_OF_DEATH_2020-06-09,0.59
178,DATE_OF_FIRST_SYMPTOM_2020-04-12,0.58
82,ADMISSION DATE_2020-04-30,0.58
312,DATE_OF_DEATH_2020-05-27,0.58
168,DATE_OF_FIRST_SYMPTOM_2020-04-02,0.58
291,DATE_OF_DEATH_2020-05-06,0.57
59,ADMISSION DATE_2020-04-07,0.57
321,DATE_OF_DEATH_2020-06-05,0.57
65,ADMISSION DATE_2020-04-13,0.57
106,ADMISSION DATE_2020-05-24,0.56
282,DATE_OF_DEATH_2020-04-27,0.56
73,ADMISSION DATE_2020-04-21,0.56
155,DATE_OF_FIRST_SYMPTOM_2020-03-20,0.56
174,DATE_OF_FIRST_SYMPTOM_2020-04-08,0.55
53,ADMISSION DATE_2020-04-01,0.55
179,DATE_OF_FIRST_SYMPTOM_2020-04-13,0.55
288,DATE_OF_DEATH_2020-05-03,0.55
177,DATE_OF_FIRST_SYMPTOM_2020-04-11,0.54
204,DATE_OF_FIRST_SYMPTOM_2020-05-08,0.54
300,DATE_OF_DEATH_2020-05-15,0.54
103,ADMISSION DATE_2020-05-21,0.54
227,DATE_OF_FIRST_SYMPTOM_2020-05-31,0.53
275,DATE_OF_DEATH_2020-04-20,0.53
61,ADMISSION DATE_2020-04-09,0.53
303,DATE_OF_DEATH_2020-05-18,0.53
320,DATE_OF_DEATH_2020-06-04,0.52
198,DATE_OF_FIRST_SYMPTOM_2020-05-02,0.52
112,ADMISSION DATE_2020-05-30,0.52
287,DATE_OF_DEATH_2020-05-02,0.52
241,DATE_OF_FIRST_SYMPTOM_2020-06-14,0.51
237,DATE_OF_FIRST_SYMPTOM_2020-06-10,0.51
48,ADMISSION DATE_2020-03-27,0.51
272,DATE_OF_DEATH_2020-04-17,0.51
80,ADMISSION DATE_2020-04-28,0.5
317,DATE_OF_DEATH_2020-06-01,0.5
72,ADMISSION DATE_2020-04-20,0.5
261,DATE_OF_DEATH_2020-04-06,0.49
338,NATIONALITY_FOREIGN,0.49
313,DATE_OF_DEATH_2020-05-28,0.49
83,ADMISSION DATE_2020-05-01,0.49
200,DATE_OF_FIRST_SYMPTOM_2020-05-04,0.48
327,DATE_OF_DEATH_2020-06-11,0.48
71,ADMISSION DATE_2020-04-19,0.48
161,DATE_OF_FIRST_SYMPTOM_2020-03-26,0.48
197,DATE_OF_FIRST_SYMPTOM_2020-05-01,0.47
274,DATE_OF_DEATH_2020-04-19,0.47
180,DATE_OF_FIRST_SYMPTOM_2020-04-14,0.47
269,DATE_OF_DEATH_2020-04-14,0.47
307,DATE_OF_DEATH_2020-05-22,0.46
263,DATE_OF_DEATH_2020-04-08,0.46
153,DATE_OF_FIRST_SYMPTOM_2020-03-18,0.46
110,ADMISSION DATE_2020-05-28,0.46
225,DATE_OF_FIRST_SYMPTOM_2020-05-29,0.45
123,ADMISSION DATE_2020-06-10,0.45
235,DATE_OF_FIRST_SYMPTOM_2020-06-08,0.45
329,DATE_OF_DEATH_2020-06-13,0.45
50,ADMISSION DATE_2020-03-29,0.44
125,ADMISSION DATE_2020-06-12,0.44
239,DATE_OF_FIRST_SYMPTOM_2020-06-12,0.44
102,ADMISSION DATE_2020-05-20,0.44
207,DATE_OF_FIRST_SYMPTOM_2020-05-11,0.43
14,SECTOR_MUNICIPAL,0.43
332,DATE_OF_DEATH_2020-06-16,0.43
184,DATE_OF_FIRST_SYMPTOM_2020-04-18,0.43
215,DATE_OF_FIRST_SYMPTOM_2020-05-19,0.42
164,DATE_OF_FIRST_SYMPTOM_2020-03-29,0.42
165,DATE_OF_FIRST_SYMPTOM_2020-03-30,0.42
270,DATE_OF_DEATH_2020-04-15,0.42
163,DATE_OF_FIRST_SYMPTOM_2020-03-28,0.41
5,ADMISSION_YEAR,0.41
279,DATE_OF_DEATH_2020-04-24,0.41
40,ADMISSION DATE_2020-03-19,0.41
302,DATE_OF_DEATH_2020-05-17,0.4
277,DATE_OF_DEATH_2020-04-22,0.4
47,ADMISSION DATE_2020-03-26,0.4
45,ADMISSION DATE_2020-03-24,0.4
289,DATE_OF_DEATH_2020-05-04,0.39
323,DATE_OF_DEATH_2020-06-07,0.39
268,DATE_OF_DEATH_2020-04-13,0.39
209,DATE_OF_FIRST_SYMPTOM_2020-05-13,0.39
324,DATE_OF_DEATH_2020-06-08,0.38
339,NATIONALITY_MEXICAN,0.38
314,DATE_OF_DEATH_2020-05-29,0.38
57,ADMISSION DATE_2020-04-05,0.38
183,DATE_OF_FIRST_SYMPTOM_2020-04-17,0.37
69,ADMISSION DATE_2020-04-17,0.37
278,DATE_OF_DEATH_2020-04-23,0.37
89,ADMISSION DATE_2020-05-07,0.37
150,DATE_OF_FIRST_SYMPTOM_2020-03-15,0.36
10,SECTOR_ACADEMIC,0.36
310,DATE_OF_DEATH_2020-05-25,0.36
315,DATE_OF_DEATH_2020-05-30,0.36
186,DATE_OF_FIRST_SYMPTOM_2020-04-20,0.35
244,DATE_OF_DEATH_2020-03-18,0.35
149,DATE_OF_FIRST_SYMPTOM_2020-03-14,0.35
242,DATE_OF_FIRST_SYMPTOM_2020-06-15,0.35
331,DATE_OF_DEATH_2020-06-15,0.34
280,DATE_OF_DEATH_2020-04-25,0.34
25,HOSPITALIZED_YES,0.34
85,ADMISSION DATE_2020-05-03,0.34
11,SECTOR_DIF,0.33
308,DATE_OF_DEATH_2020-05-23,0.33
105,ADMISSION DATE_2020-05-23,0.33
152,DATE_OF_FIRST_SYMPTOM_2020-03-17,0.33
33,ADMISSION DATE_2020-03-12,0.32
171,DATE_OF_FIRST_SYMPTOM_2020-04-05,0.32
262,DATE_OF_DEATH_2020-04-07,0.32
115,ADMISSION DATE_2020-06-02,0.32
301,DATE_OF_DEATH_2020-05-16,0.31
169,DATE_OF_FIRST_SYMPTOM_2020-04-03,0.31
42,ADMISSION DATE_2020-03-21,0.31
99,ADMISSION DATE_2020-05-17,0.31
141,DATE_OF_FIRST_SYMPTOM_2020-03-06,0.3
146,DATE_OF_FIRST_SYMPTOM_2020-03-11,0.3
66,ADMISSION DATE_2020-04-14,0.3
295,DATE_OF_DEATH_2020-05-10,0.3
297,DATE_OF_DEATH_2020-05-12,0.29
217,DATE_OF_FIRST_SYMPTOM_2020-05-21,0.29
286,DATE_OF_DEATH_2020-05-01,0.29
111,ADMISSION DATE_2020-05-29,0.29
256,DATE_OF_DEATH_2020-04-01,0.28
159,DATE_OF_FIRST_SYMPTOM_2020-03-24,0.28
60,ADMISSION DATE_2020-04-08,0.28
32,ADMISSION DATE_2020-03-11,0.28
305,DATE_OF_DEATH_2020-05-20,0.27
87,ADMISSION DATE_2020-05-05,0.27
238,DATE_OF_FIRST_SYMPTOM_2020-06-11,0.27
154,DATE_OF_FIRST_SYMPTOM_2020-03-19,0.27
26,ADMISSION DATE_2020-02-27,0.26
38,ADMISSION DATE_2020-03-17,0.26
96,ADMISSION DATE_2020-05-14,0.26
248,DATE_OF_DEATH_2020-03-24,0.26
34,ADMISSION DATE_2020-03-13,0.25
63,ADMISSION DATE_2020-04-11,0.25
257,DATE_OF_DEATH_2020-04-02,0.25
92,ADMISSION DATE_2020-05-10,0.25
31,ADMISSION DATE_2020-03-10,0.24
54,ADMISSION DATE_2020-04-02,0.24
18,SECTOR_RED CROSS,0.24
236,DATE_OF_FIRST_SYMPTOM_2020-06-09,0.24
309,DATE_OF_DEATH_2020-05-24,0.23
199,DATE_OF_FIRST_SYMPTOM_2020-05-03,0.23
116,ADMISSION DATE_2020-06-03,0.23
290,DATE_OF_DEATH_2020-05-05,0.23
157,DATE_OF_FIRST_SYMPTOM_2020-03-22,0.22
260,DATE_OF_DEATH_2020-04-05,0.22
316,DATE_OF_DEATH_2020-05-31,0.22
258,DATE_OF_DEATH_2020-04-03,0.22
52,ADMISSION DATE_2020-03-31,0.21
144,DATE_OF_FIRST_SYMPTOM_2020-03-09,0.21
145,DATE_OF_FIRST_SYMPTOM_2020-03-10,0.21
264,DATE_OF_DEATH_2020-04-09,0.21
37,ADMISSION DATE_2020-03-16,0.2
136,DATE_OF_FIRST_SYMPTOM_2020-02-27,0.2
129,ADMISSION DATE_2020-06-16,0.2
27,ADMISSION DATE_2020-03-02,0.2
132,DATE_OF_FIRST_SYMPTOM_2020-02-06,0.19
267,DATE_OF_DEATH_2020-04-12,0.19
30,ADMISSION DATE_2020-03-09,0.19
135,DATE_OF_FIRST_SYMPTOM_2020-02-26,0.19
127,ADMISSION DATE_2020-06-14,0.18
68,ADMISSION DATE_2020-04-16,0.18
140,DATE_OF_FIRST_SYMPTOM_2020-03-04,0.18
247,DATE_OF_DEATH_2020-03-23,0.18
39,ADMISSION DATE_2020-03-18,0.17
283,DATE_OF_DEATH_2020-04-28,0.17
243,DATE_OF_FIRST_SYMPTOM_2020-06-16,0.17
28,ADMISSION DATE_2020-03-04,0.17
131,DATE_OF_FIRST_SYMPTOM_2020-01-17,0.16
249,DATE_OF_DEATH_2020-03-25,0.16
35,ADMISSION DATE_2020-03-14,0.16
29,ADMISSION DATE_2020-03-08,0.16
36,ADMISSION DATE_2020-03-15,0.15
160,DATE_OF_FIRST_SYMPTOM_2020-03-25,0.15
41,ADMISSION DATE_2020-03-20,0.15
56,ADMISSION DATE_2020-04-04,0.15
130,ADMISSION DATE_2020-06-17,0.14
253,DATE_OF_DEATH_2020-03-29,0.14
147,DATE_OF_FIRST_SYMPTOM_2020-03-12,0.14
251,DATE_OF_DEATH_2020-03-27,0.14
98,ADMISSION DATE_2020-05-16,0.13
138,DATE_OF_FIRST_SYMPTOM_2020-03-02,0.13
304,DATE_OF_DEATH_2020-05-19,0.13
49,ADMISSION DATE_2020-03-28,0.13
139,DATE_OF_FIRST_SYMPTOM_2020-03-03,0.12
240,DATE_OF_FIRST_SYMPTOM_2020-06-13,0.12
294,DATE_OF_DEATH_2020-05-09,0.12
266,DATE_OF_DEATH_2020-04-11,0.12
43,ADMISSION DATE_2020-03-22,0.11
175,DATE_OF_FIRST_SYMPTOM_2020-04-09,0.11
245,DATE_OF_DEATH_2020-03-20,0.11
185,DATE_OF_FIRST_SYMPTOM_2020-04-19,0.11
380,OUTCOME_POSITIVE,0.1
133,DATE_OF_FIRST_SYMPTOM_2020-02-21,0.1
246,DATE_OF_DEATH_2020-03-22,0.1
143,DATE_OF_FIRST_SYMPTOM_2020-03-08,0.1
142,DATE_OF_FIRST_SYMPTOM_2020-03-07,0.09
148,DATE_OF_FIRST_SYMPTOM_2020-03-13,0.09
381,MIGRANT_NO,0.09
44,ADMISSION DATE_2020-03-23,0.09
134,DATE_OF_FIRST_SYMPTOM_2020-02-22,0.08
156,DATE_OF_FIRST_SYMPTOM_2020-03-21,0.08
158,DATE_OF_FIRST_SYMPTOM_2020-03-23,0.08
333,DATE_OF_DEATH_2020-06-17,0.08
137,DATE_OF_FIRST_SYMPTOM_2020-03-01,0.07
252,DATE_OF_DEATH_2020-03-28,0.07
383,MIGRANT_YES,0.07
382,MIGRANT_UNKNOWN,0.07
259,DATE_OF_DEATH_2020-04-04,0.06
46,ADMISSION DATE_2020-03-25,0.06
384,COUNTRY OF ORIGIN_99,0.06
55,ADMISSION DATE_2020-04-03,0.06
271,DATE_OF_DEATH_2020-04-16,0.05
250,DATE_OF_DEATH_2020-03-26,0.05
254,DATE_OF_DEATH_2020-03-30,0.05
151,DATE_OF_FIRST_SYMPTOM_2020-03-16,0.05
255,DATE_OF_DEATH_2020-03-31,0.04
51,ADMISSION DATE_2020-03-30,0.04
385,COUNTRY OF ORIGIN_Argentina,0.04
386,COUNTRY OF ORIGIN_Canadá,0.04
387,COUNTRY OF ORIGIN_Chile,0.03
388,COUNTRY OF ORIGIN_Colombia,0.03
389,COUNTRY OF ORIGIN_Cuba,0.03
390,COUNTRY OF ORIGIN_Egipto,0.03
391,COUNTRY OF ORIGIN_El Salvador,0.02
392,COUNTRY OF ORIGIN_Estados Unidos de América,0.02
128,ADMISSION DATE_2020-06-15,0.02
195,DATE_OF_FIRST_SYMPTOM_2020-04-29,0.02
393,COUNTRY OF ORIGIN_Ghana,0.01
394,COUNTRY OF ORIGIN_Grecia,0.01
395,COUNTRY OF ORIGIN_Guatemala,0.01
396,COUNTRY OF ORIGIN_Haití,0.01
397,COUNTRY OF ORIGIN_Otro,0.0
398,COUNTRY OF ORIGIN_República de Honduras,0.0
